#Returns a data frame with the initial values (I), rate estimates (P)
#Log likelihoods (L) and standard error of the rate (S)

#Total time to run about 3 minutes (w/ 50 points)

$spg
             I        P         L         S
V39  7.7573469 125.8980 -8.317808  1361.135
V40  7.9612245 127.4642 -8.317803  1447.774
V41  8.1651020 126.9436 -8.317805  1418.768
V42  8.3689796 128.0310 -8.317802  1482.157
V43  8.5728571 127.7039 -8.317803  1462.375
V44  8.7767347 129.0364 -8.317799  1542.995
V45  8.9806122 128.0799 -8.317802  1483.678
V46  9.1844898 129.1365 -8.317799  1547.970
V47  9.3883673 129.5392 -8.317798  1573.663
V48  9.5922449 120.5714 -8.317831  1099.231
V49  9.7961224 120.9885 -8.317829  1117.633
V50 10.0000000 131.7237 -8.317793  1719.200

$ucminf
             I        P         L         S
V1   0.0100000 229.6692 -8.317766  82150.71
V2   0.2138776 227.1670 -8.317766       NaN
V3   0.4177551 222.8393 -8.317766       NaN
V4   0.6216327 230.2799 -8.317766  69389.72
V5   0.8255102 225.4958 -8.317766  69071.32
V6   1.0293878 229.9095 -8.317766       NaN
V7   1.2332653 229.7227 -8.317766  62521.88
V8   1.4371429 231.0574 -8.317766       NaN
V9   1.6410204 228.4063 -8.317766       NaN
V10  1.8448980 229.4827 -8.317766       NaN
V11  2.0487755 225.0010 -8.317766  47941.16
V12  2.2526531 229.1191 -8.317766  50473.93
V13  2.4565306 223.8392 -8.317766  55982.18
V14  2.6604082 223.1966 -8.317766  62410.28
V15  2.8642857 229.1160 -8.317766  46614.49
V16  3.0681633 228.6141 -8.317766  65778.41
V17  3.2720408 229.2720 -8.317766  41969.26
V18  3.4759184 229.8487 -8.317766       NaN
V19  3.6797959 227.0637 -8.317766  53874.41
V20  3.8836735 225.0497 -8.317766       NaN
V21  4.0875510 228.7030 -8.317766 115689.88
V22  4.2914286 226.8383 -8.317766       NaN
V23  4.4953061 225.6204 -8.317766  63982.95
V24  4.6991837 225.0335 -8.317766  62067.78
V25  4.9030612 224.9859 -8.317766  58949.93
V26  5.1069388 224.6538 -8.317766 125635.49
V27  5.3108163 223.6274 -8.317766  64343.62
V28  5.5146939 224.9867 -8.317766 217929.56
V29  5.7185714 223.4218 -8.317766  46493.13
V30  5.9224490 227.1848 -8.317766  79475.85
V31  6.1263265 224.5954 -8.317766  34397.76
V32  6.3302041 223.1263 -8.317766  45065.70
V33  6.5340816 230.7442 -8.317766       NaN
V34  6.7379592 230.4750 -8.317766  64445.47
V35  6.9418367 230.1524 -8.317766  63479.65
V36  7.1457143 229.8581 -8.317766  82218.27
V37  7.3495918 229.7838 -8.317766  45752.00
V38  7.5534694 229.6300 -8.317766       NaN
V39  7.7573469 229.6616 -8.317766  58087.39
V40  7.9612245 230.0573 -8.317766  40460.87
V41  8.1651020 230.5611 -8.317766  55832.28
V42  8.3689796 230.5835 -8.317766  70629.73
V43  8.5728571 230.5899 -8.317766  88753.08
V44  8.7767347 231.2373 -8.317766 274323.41
V45  8.9806122 222.7265 -8.317766  71913.42
V46  9.1844898 223.1052 -8.317766  36881.71
V47  9.3883673 223.4896 -8.317766  45139.08
V48  9.5922449 223.8011 -8.317766  49733.00
V49  9.7961224 224.0669 -8.317766  82032.86
V50 10.0000000 224.4120 -8.317766  67621.56

$nlm
             I        P         L         S
V1   0.0100000 266.5084 -8.317766       NaN
V2   0.2138776 243.3169 -8.317766  44277.45
V3   0.4177551 264.2614 -8.317766       NaN
V4   0.6216327 259.4985 -8.317766       NaN
V5   0.8255102 244.0322 -8.317766  66416.38
V6   1.0293878 259.4349 -8.317766       NaN
V7   1.2332653 263.4398 -8.317766 110494.66
V8   1.4371429 264.2728 -8.317766 133682.95
V9   1.6410204 263.7310 -8.317766 110616.81
V10  1.8448980 261.3998 -8.317766  71143.20
V11  2.0487755 263.3765 -8.317766 133229.57
V12  2.2526531 270.3484 -8.317766  70835.63
V13  2.4565306 261.9487 -8.317766       NaN
V14  2.6604082 263.9588 -8.317766 442849.31
V15  2.8642857 262.4858 -8.317766       NaN
V16  3.0681633 262.8554 -8.317766       NaN
V17  3.2720408 263.7085 -8.317766  56188.59
V18  3.4759184 260.7839 -8.317766       NaN
V19  3.6797959 265.8552 -8.317766  74338.50
V20  3.8836735 263.3259 -8.317766       NaN
V21  4.0875510 259.8079 -8.317766  58774.77
V22  4.2914286 259.1480 -8.317766 177497.49
V23  4.4953061 259.9623 -8.317766 195049.70
V24  4.6991837 260.6095 -8.317766  97767.64
V25  4.9030612 260.1161 -8.317766       NaN
V26  5.1069388 258.7165 -8.317766       NaN
V27  5.3108163 257.9038 -8.317766       NaN
V28  5.5146939 263.8726 -8.317766       NaN
V29  5.7185714 267.4494 -8.317766       NaN
V30  5.9224490 266.9271 -8.317766 158331.59
V31  6.1263265 265.7346 -8.317766       NaN
V32  6.3302041 265.3202 -8.317766       NaN
V33  6.5340816 266.2465 -8.317766  77758.32
V34  6.7379592 267.2584 -8.317766       NaN
V35  6.9418367 276.9571 -8.317766       NaN
V36  7.1457143 257.6177 -8.317766  96645.26
V37  7.3495918 257.8284 -8.317766  49618.52
V38  7.5534694 239.3912 -8.317766  74581.14
V39  7.7573469 239.9448 -8.317766       NaN
V40  7.9612245 240.6071 -8.317766  66363.23
V41  8.1651020 241.3620 -8.317766       NaN
V42  8.3689796 242.1958 -8.317766 128495.10
V43  8.5728571 243.0972 -8.317766 203924.71
V44  8.7767347 244.0522 -8.317766 204725.85
V45  8.9806122 245.0350 -8.317766  91924.87
V46  9.1844898 246.0582 -8.317766       NaN
V47  9.3883673 238.4492 -8.317766  43138.65
V48  9.5922449 239.2774 -8.317766 200720.42
V49  9.7961224 248.3515 -8.317766       NaN
V50 10.0000000 257.4705 -8.317766 107990.97

$nlminb
             I        P         L         S
V1   0.0100000 266.5084 -8.317766       NaN
V2   0.2138776 243.3169 -8.317766  44277.45
V3   0.4177551 264.2614 -8.317766       NaN
V4   0.6216327 259.4985 -8.317766       NaN
V5   0.8255102 244.0322 -8.317766  66416.38
V6   1.0293878 259.4349 -8.317766       NaN
V7   1.2332653 263.4398 -8.317766 110494.66
V8   1.4371429 264.2728 -8.317766 133682.95
V9   1.6410204 263.7310 -8.317766 110616.81
V10  1.8448980 261.3998 -8.317766  71143.20
V11  2.0487755 263.3765 -8.317766 133229.57
V12  2.2526531 270.3484 -8.317766  70835.63
V13  2.4565306 261.9487 -8.317766       NaN
V14  2.6604082 263.9588 -8.317766 442849.31
V15  2.8642857 262.4858 -8.317766       NaN
V16  3.0681633 262.8554 -8.317766       NaN
V17  3.2720408 263.7085 -8.317766  56188.59
V18  3.4759184 260.7839 -8.317766       NaN
V19  3.6797959 265.8552 -8.317766  74338.50
V20  3.8836735 263.3259 -8.317766       NaN
V21  4.0875510 259.8079 -8.317766  58774.77
V22  4.2914286 259.1480 -8.317766 177497.49
V23  4.4953061 259.9623 -8.317766 195049.70
V24  4.6991837 260.6095 -8.317766  97767.64
V25  4.9030612 260.1161 -8.317766       NaN
V26  5.1069388 258.7165 -8.317766       NaN
V27  5.3108163 257.9038 -8.317766       NaN
V28  5.5146939 263.8726 -8.317766       NaN
V29  5.7185714 267.4494 -8.317766       NaN
V30  5.9224490 266.9271 -8.317766 158331.59
V31  6.1263265 265.7346 -8.317766       NaN
V32  6.3302041 265.3202 -8.317766       NaN
V33  6.5340816 266.2465 -8.317766  77758.32
V34  6.7379592 267.2584 -8.317766       NaN
V35  6.9418367 276.9571 -8.317766       NaN
V36  7.1457143 257.6177 -8.317766  96645.26
V37  7.3495918 257.8284 -8.317766  49618.52
V38  7.5534694 239.3912 -8.317766  74581.14
V39  7.7573469 239.9448 -8.317766       NaN
V40  7.9612245 240.6071 -8.317766  66363.23
V41  8.1651020 241.3620 -8.317766       NaN
V42  8.3689796 242.1958 -8.317766 128495.10
V43  8.5728571 243.0972 -8.317766 203924.71
V44  8.7767347 244.0522 -8.317766 204725.85
V45  8.9806122 245.0350 -8.317766  91924.87
V46  9.1844898 246.0582 -8.317766       NaN
V47  9.3883673 238.4492 -8.317766  43138.65
V48  9.5922449 239.2774 -8.317766 200720.42
V49  9.7961224 248.3515 -8.317766       NaN
V50 10.0000000 257.4705 -8.317766 107990.97

$bobyqa
             I         P         L           S
V1   0.0100000  88.44531 -8.318612    303.8278
V2   0.2138776 351.52164 -8.317766         NaN
V3   0.4177551 337.63306 -8.317766         NaN
V4   0.6216327 329.06987 -8.317766         NaN
V5   0.8255102 356.43853 -8.317766         NaN
V6   1.0293878 317.47757 -8.317766         NaN
V7   1.2332653 312.36743 -8.317766         NaN
V8   1.4371429 309.73002 -8.317766         NaN
V9   1.6410204 305.21050 -8.317766         NaN
V10  1.8448980 349.63389 -8.317766         NaN
V11  2.0487755 340.57124 -8.317766  60566.5529
V12  2.2526531 352.64199 -8.317766         NaN
V13  2.4565306 369.55356 -8.317766         NaN
V14  2.6604082 362.98211 -8.317766 192577.3103
V15  2.8642857 358.13828 -8.317766         NaN
V16  3.0681633 363.35773 -8.317766 117320.0987
V17  3.2720408 358.75033 -8.317766         NaN
V18  3.4759184 352.98768 -8.317766         NaN
V19  3.6797959 349.52960 -8.317766         NaN
V20  3.8836735 352.45073 -8.317766         NaN
V21  4.0875510 366.67473 -8.317766         NaN
V22  4.2914286 356.25978 -8.317766         NaN
V23  4.4953061 357.90519 -8.317766         NaN
V24  4.6991837 363.28061 -8.317766         NaN
V25  4.9030612 364.04683 -8.317766         NaN
V26  5.1069388 352.56319 -8.317766 152725.3850
V27  5.3108163 362.49537 -8.317766         NaN
V28  5.5146939 355.39607 -8.317766 153952.5494
V29  5.7185714 366.30672 -8.317766         NaN
V30  5.9224490 372.99256 -8.317766         NaN
V31  6.1263265 360.15385 -8.317766         NaN
V32  6.3302041 356.21480 -8.317766         NaN
V33  6.5340816 370.32436 -8.317766         NaN
V34  6.7379592 358.91656 -8.317766         NaN
V35  6.9418367 365.67946 -8.317766         NaN
V36  7.1457143 370.29642 -8.317766  52134.5029
V37  7.3495918 337.75773 -8.317766         NaN
V38  7.5534694 336.38917 -8.317766         NaN
V39  7.7573469 366.48403 -8.317766  83671.6005
V40  7.9612245 363.58535 -8.317766         NaN
V41  8.1651020 365.28921 -8.317766 176915.5965
V42  8.3689796 342.18977 -8.317766         NaN
V43  8.5728571 350.78428 -8.317766         NaN
V44  8.7767347 355.18262 -8.317766         NaN
V45  8.9806122 366.95465 -8.317766         NaN
V46  9.1844898 359.47713 -8.317766  83635.2759
V47  9.3883673 362.69977 -8.317766         NaN
V48  9.5922449 371.39040 -8.317766         NaN
V49  9.7961224 343.97469 -8.317766         NaN
V50 10.0000000 365.88144 -8.317766         NaN

$rvmmin
             I        P         L         S
V1   0.0100000 229.6692 -8.317766  82150.71
V2   0.2138776 227.1670 -8.317766       NaN
V3   0.4177551 222.8393 -8.317766       NaN
V4   0.6216327 230.2799 -8.317766  69389.72
V5   0.8255102 225.4958 -8.317766  69071.32
V6   1.0293878 229.9095 -8.317766       NaN
V7   1.2332653 229.7227 -8.317766  62521.88
V8   1.4371429 231.0574 -8.317766       NaN
V9   1.6410204 228.4063 -8.317766       NaN
V10  1.8448980 229.4827 -8.317766       NaN
V11  2.0487755 225.0010 -8.317766  47941.16
V12  2.2526531 229.1191 -8.317766  50473.93
V13  2.4565306 223.8392 -8.317766  55982.18
V14  2.6604082 223.1966 -8.317766  62410.28
V15  2.8642857 229.1160 -8.317766  46614.49
V16  3.0681633 228.6141 -8.317766  65778.41
V17  3.2720408 229.2720 -8.317766  41969.26
V18  3.4759184 229.8487 -8.317766       NaN
V19  3.6797959 227.0637 -8.317766  53874.41
V20  3.8836735 225.0497 -8.317766       NaN
V21  4.0875510 228.7030 -8.317766 115689.88
V22  4.2914286 226.8383 -8.317766       NaN
V23  4.4953061 225.6204 -8.317766  63982.95
V24  4.6991837 225.0335 -8.317766  62067.78
V25  4.9030612 224.9859 -8.317766  58949.93
V26  5.1069388 224.6538 -8.317766 125635.49
V27  5.3108163 223.6274 -8.317766  64343.62
V28  5.5146939 224.9867 -8.317766 217929.56
V29  5.7185714 223.4218 -8.317766  46493.13
V30  5.9224490 227.1848 -8.317766  79475.85
V31  6.1263265 224.5954 -8.317766  34397.76
V32  6.3302041 223.1263 -8.317766  45065.70
V33  6.5340816 230.7442 -8.317766       NaN
V34  6.7379592 230.4750 -8.317766  64445.47
V35  6.9418367 230.1524 -8.317766  63479.65
V36  7.1457143 229.8581 -8.317766  82218.27
V37  7.3495918 229.7838 -8.317766  45752.00
V38  7.5534694 229.6300 -8.317766       NaN
V39  7.7573469 229.6616 -8.317766  58087.39
V40  7.9612245 230.0573 -8.317766  40460.87
V41  8.1651020 230.5611 -8.317766  55832.28
V42  8.3689796 230.5835 -8.317766  70629.73
V43  8.5728571 230.5899 -8.317766  88753.08
V44  8.7767347 231.2373 -8.317766 274323.41
V45  8.9806122 222.7265 -8.317766  71913.42
V46  9.1844898 223.1052 -8.317766  36881.71
V47  9.3883673 223.4896 -8.317766  45139.08
V48  9.5922449 223.8011 -8.317766  49733.00
V49  9.7961224 224.0669 -8.317766  82032.86
V50 10.0000000 224.4120 -8.317766  67621.56

$rcgmin
             I        P         L         S
V1   0.0100000 229.6692 -8.317766  82150.71
V2   0.2138776 227.1670 -8.317766       NaN
V3   0.4177551 222.8393 -8.317766       NaN
V4   0.6216327 230.2799 -8.317766  69389.72
V5   0.8255102 225.4958 -8.317766  69071.32
V6   1.0293878 229.9095 -8.317766       NaN
V7   1.2332653 229.7227 -8.317766  62521.88
V8   1.4371429 231.0574 -8.317766       NaN
V9   1.6410204 228.4063 -8.317766       NaN
V10  1.8448980 229.4827 -8.317766       NaN
V11  2.0487755 225.0010 -8.317766  47941.16
V12  2.2526531 229.1191 -8.317766  50473.93
V13  2.4565306 223.8392 -8.317766  55982.18
V14  2.6604082 223.1966 -8.317766  62410.28
V15  2.8642857 229.1160 -8.317766  46614.49
V16  3.0681633 228.6141 -8.317766  65778.41
V17  3.2720408 229.2720 -8.317766  41969.26
V18  3.4759184 229.8487 -8.317766       NaN
V19  3.6797959 227.0637 -8.317766  53874.41
V20  3.8836735 225.0497 -8.317766       NaN
V21  4.0875510 228.7030 -8.317766 115689.88
V22  4.2914286 226.8383 -8.317766       NaN
V23  4.4953061 225.6204 -8.317766  63982.95
V24  4.6991837 225.0335 -8.317766  62067.78
V25  4.9030612 224.9859 -8.317766  58949.93
V26  5.1069388 224.6538 -8.317766 125635.49
V27  5.3108163 223.6274 -8.317766  64343.62
V28  5.5146939 224.9867 -8.317766 217929.56
V29  5.7185714 223.4218 -8.317766  46493.13
V30  5.9224490 227.1848 -8.317766  79475.85
V31  6.1263265 224.5954 -8.317766  34397.76
V32  6.3302041 223.1263 -8.317766  45065.70
V33  6.5340816 230.7442 -8.317766       NaN
V34  6.7379592 230.4750 -8.317766  64445.47
V35  6.9418367 230.1524 -8.317766  63479.65
V36  7.1457143 229.8581 -8.317766  82218.27
V37  7.3495918 229.7838 -8.317766  45752.00
V38  7.5534694 229.6300 -8.317766       NaN
V39  7.7573469 229.6616 -8.317766  58087.39
V40  7.9612245 230.0573 -8.317766  40460.87
V41  8.1651020 230.5611 -8.317766  55832.28
V42  8.3689796 230.5835 -8.317766  70629.73
V43  8.5728571 230.5899 -8.317766  88753.08
V44  8.7767347 231.2373 -8.317766 274323.41
V45  8.9806122 222.7265 -8.317766  71913.42
V46  9.1844898 223.1052 -8.317766  36881.71
V47  9.3883673 223.4896 -8.317766  45139.08
V48  9.5922449 223.8011 -8.317766  49733.00
V49  9.7961224 224.0669 -8.317766  82032.86
V50 10.0000000 224.4120 -8.317766  67621.56

$`Nelder-Mead`
             I        P         L         S
V1   0.0100000 229.6692 -8.317766  82150.71
V2   0.2138776 227.1670 -8.317766       NaN
V3   0.4177551 222.8393 -8.317766       NaN
V4   0.6216327 230.2799 -8.317766  69389.72
V5   0.8255102 225.4958 -8.317766  69071.32
V6   1.0293878 229.9095 -8.317766       NaN
V7   1.2332653 229.7227 -8.317766  62521.88
V8   1.4371429 231.0574 -8.317766       NaN
V9   1.6410204 228.4063 -8.317766       NaN
V10  1.8448980 229.4827 -8.317766       NaN
V11  2.0487755 225.0010 -8.317766  47941.16
V12  2.2526531 229.1191 -8.317766  50473.93
V13  2.4565306 223.8392 -8.317766  55982.18
V14  2.6604082 223.1966 -8.317766  62410.28
V15  2.8642857 229.1160 -8.317766  46614.49
V16  3.0681633 228.6141 -8.317766  65778.41
V17  3.2720408 229.2720 -8.317766  41969.26
V18  3.4759184 229.8487 -8.317766       NaN
V19  3.6797959 227.0637 -8.317766  53874.41
V20  3.8836735 225.0497 -8.317766       NaN
V21  4.0875510 228.7030 -8.317766 115689.88
V22  4.2914286 226.8383 -8.317766       NaN
V23  4.4953061 225.6204 -8.317766  63982.95
V24  4.6991837 225.0335 -8.317766  62067.78
V25  4.9030612 224.9859 -8.317766  58949.93
V26  5.1069388 224.6538 -8.317766 125635.49
V27  5.3108163 223.6274 -8.317766  64343.62
V28  5.5146939 224.9867 -8.317766 217929.56
V29  5.7185714 223.4218 -8.317766  46493.13
V30  5.9224490 227.1848 -8.317766  79475.85
V31  6.1263265 224.5954 -8.317766  34397.76
V32  6.3302041 223.1263 -8.317766  45065.70
V33  6.5340816 230.7442 -8.317766       NaN
V34  6.7379592 230.4750 -8.317766  64445.47
V35  6.9418367 230.1524 -8.317766  63479.65
V36  7.1457143 229.8581 -8.317766  82218.27
V37  7.3495918 229.7838 -8.317766  45752.00
V38  7.5534694 229.6300 -8.317766       NaN
V39  7.7573469 229.6616 -8.317766  58087.39
V40  7.9612245 230.0573 -8.317766  40460.87
V41  8.1651020 230.5611 -8.317766  55832.28
V42  8.3689796 230.5835 -8.317766  70629.73
V43  8.5728571 230.5899 -8.317766  88753.08
V44  8.7767347 231.2373 -8.317766 274323.41
V45  8.9806122 222.7265 -8.317766  71913.42
V46  9.1844898 223.1052 -8.317766  36881.71
V47  9.3883673 223.4896 -8.317766  45139.08
V48  9.5922449 223.8011 -8.317766  49733.00
V49  9.7961224 224.0669 -8.317766  82032.86
V50 10.0000000 224.4120 -8.317766  67621.56

$`quasi-Newton`
             I        P         L         S
V1   0.0100000 229.6692 -8.317766  82150.71
V2   0.2138776 227.1670 -8.317766       NaN
V3   0.4177551 222.8393 -8.317766       NaN
V4   0.6216327 230.2799 -8.317766  69389.72
V5   0.8255102 225.4958 -8.317766  69071.32
V6   1.0293878 229.9095 -8.317766       NaN
V7   1.2332653 229.7227 -8.317766  62521.88
V8   1.4371429 231.0574 -8.317766       NaN
V9   1.6410204 228.4063 -8.317766       NaN
V10  1.8448980 229.4827 -8.317766       NaN
V11  2.0487755 225.0010 -8.317766  47941.16
V12  2.2526531 229.1191 -8.317766  50473.93
V13  2.4565306 223.8392 -8.317766  55982.18
V14  2.6604082 223.1966 -8.317766  62410.28
V15  2.8642857 229.1160 -8.317766  46614.49
V16  3.0681633 228.6141 -8.317766  65778.41
V17  3.2720408 229.2720 -8.317766  41969.26
V18  3.4759184 229.8487 -8.317766       NaN
V19  3.6797959 227.0637 -8.317766  53874.41
V20  3.8836735 225.0497 -8.317766       NaN
V21  4.0875510 228.7030 -8.317766 115689.88
V22  4.2914286 226.8383 -8.317766       NaN
V23  4.4953061 225.6204 -8.317766  63982.95
V24  4.6991837 225.0335 -8.317766  62067.78
V25  4.9030612 224.9859 -8.317766  58949.93
V26  5.1069388 224.6538 -8.317766 125635.49
V27  5.3108163 223.6274 -8.317766  64343.62
V28  5.5146939 224.9867 -8.317766 217929.56
V29  5.7185714 223.4218 -8.317766  46493.13
V30  5.9224490 227.1848 -8.317766  79475.85
V31  6.1263265 224.5954 -8.317766  34397.76
V32  6.3302041 223.1263 -8.317766  45065.70
V33  6.5340816 230.7442 -8.317766       NaN
V34  6.7379592 230.4750 -8.317766  64445.47
V35  6.9418367 230.1524 -8.317766  63479.65
V36  7.1457143 229.8581 -8.317766  82218.27
V37  7.3495918 229.7838 -8.317766  45752.00
V38  7.5534694 229.6300 -8.317766       NaN
V39  7.7573469 229.6616 -8.317766  58087.39
V40  7.9612245 230.0573 -8.317766  40460.87
V41  8.1651020 230.5611 -8.317766  55832.28
V42  8.3689796 230.5835 -8.317766  70629.73
V43  8.5728571 230.5899 -8.317766  88753.08
V44  8.7767347 231.2373 -8.317766 274323.41
V45  8.9806122 222.7265 -8.317766  71913.42
V46  9.1844898 223.1052 -8.317766  36881.71
V47  9.3883673 223.4896 -8.317766  45139.08
V48  9.5922449 223.8011 -8.317766  49733.00
V49  9.7961224 224.0669 -8.317766  82032.86
V50 10.0000000 224.4120 -8.317766  67621.56

$BFGS
             I        P         L         S
V1   0.0100000 229.6692 -8.317766  82150.71
V2   0.2138776 227.1670 -8.317766       NaN
V3   0.4177551 222.8393 -8.317766       NaN
V4   0.6216327 230.2799 -8.317766  69389.72
V5   0.8255102 225.4958 -8.317766  69071.32
V6   1.0293878 229.9095 -8.317766       NaN
V7   1.2332653 229.7227 -8.317766  62521.88
V8   1.4371429 231.0574 -8.317766       NaN
V9   1.6410204 228.4063 -8.317766       NaN
V10  1.8448980 229.4827 -8.317766       NaN
V11  2.0487755 225.0010 -8.317766  47941.16
V12  2.2526531 229.1191 -8.317766  50473.93
V13  2.4565306 223.8392 -8.317766  55982.18
V14  2.6604082 223.1966 -8.317766  62410.28
V15  2.8642857 229.1160 -8.317766  46614.49
V16  3.0681633 228.6141 -8.317766  65778.41
V17  3.2720408 229.2720 -8.317766  41969.26
V18  3.4759184 229.8487 -8.317766       NaN
V19  3.6797959 227.0637 -8.317766  53874.41
V20  3.8836735 225.0497 -8.317766       NaN
V21  4.0875510 228.7030 -8.317766 115689.88
V22  4.2914286 226.8383 -8.317766       NaN
V23  4.4953061 225.6204 -8.317766  63982.95
V24  4.6991837 225.0335 -8.317766  62067.78
V25  4.9030612 224.9859 -8.317766  58949.93
V26  5.1069388 224.6538 -8.317766 125635.49
V27  5.3108163 223.6274 -8.317766  64343.62
V28  5.5146939 224.9867 -8.317766 217929.56
V29  5.7185714 223.4218 -8.317766  46493.13
V30  5.9224490 227.1848 -8.317766  79475.85
V31  6.1263265 224.5954 -8.317766  34397.76
V32  6.3302041 223.1263 -8.317766  45065.70
V33  6.5340816 230.7442 -8.317766       NaN
V34  6.7379592 230.4750 -8.317766  64445.47
V35  6.9418367 230.1524 -8.317766  63479.65
V36  7.1457143 229.8581 -8.317766  82218.27
V37  7.3495918 229.7838 -8.317766  45752.00
V38  7.5534694 229.6300 -8.317766       NaN
V39  7.7573469 229.6616 -8.317766  58087.39
V40  7.9612245 230.0573 -8.317766  40460.87
V41  8.1651020 230.5611 -8.317766  55832.28
V42  8.3689796 230.5835 -8.317766  70629.73
V43  8.5728571 230.5899 -8.317766  88753.08
V44  8.7767347 231.2373 -8.317766 274323.41
V45  8.9806122 222.7265 -8.317766  71913.42
V46  9.1844898 223.1052 -8.317766  36881.71
V47  9.3883673 223.4896 -8.317766  45139.08
V48  9.5922449 223.8011 -8.317766  49733.00
V49  9.7961224 224.0669 -8.317766  82032.86
V50 10.0000000 224.4120 -8.317766  67621.56

$CG
             I        P         L         S
V1   0.0100000 229.6692 -8.317766  82150.71
V2   0.2138776 227.1670 -8.317766       NaN
V3   0.4177551 222.8393 -8.317766       NaN
V4   0.6216327 230.2799 -8.317766  69389.72
V5   0.8255102 225.4958 -8.317766  69071.32
V6   1.0293878 229.9095 -8.317766       NaN
V7   1.2332653 229.7227 -8.317766  62521.88
V8   1.4371429 231.0574 -8.317766       NaN
V9   1.6410204 228.4063 -8.317766       NaN
V10  1.8448980 229.4827 -8.317766       NaN
V11  2.0487755 225.0010 -8.317766  47941.16
V12  2.2526531 229.1191 -8.317766  50473.93
V13  2.4565306 223.8392 -8.317766  55982.18
V14  2.6604082 223.1966 -8.317766  62410.28
V15  2.8642857 229.1160 -8.317766  46614.49
V16  3.0681633 228.6141 -8.317766  65778.41
V17  3.2720408 229.2720 -8.317766  41969.26
V18  3.4759184 229.8487 -8.317766       NaN
V19  3.6797959 227.0637 -8.317766  53874.41
V20  3.8836735 225.0497 -8.317766       NaN
V21  4.0875510 228.7030 -8.317766 115689.88
V22  4.2914286 226.8383 -8.317766       NaN
V23  4.4953061 225.6204 -8.317766  63982.95
V24  4.6991837 225.0335 -8.317766  62067.78
V25  4.9030612 224.9859 -8.317766  58949.93
V26  5.1069388 224.6538 -8.317766 125635.49
V27  5.3108163 223.6274 -8.317766  64343.62
V28  5.5146939 224.9867 -8.317766 217929.56
V29  5.7185714 223.4218 -8.317766  46493.13
V30  5.9224490 227.1848 -8.317766  79475.85
V31  6.1263265 224.5954 -8.317766  34397.76
V32  6.3302041 223.1263 -8.317766  45065.70
V33  6.5340816 230.7442 -8.317766       NaN
V34  6.7379592 230.4750 -8.317766  64445.47
V35  6.9418367 230.1524 -8.317766  63479.65
V36  7.1457143 229.8581 -8.317766  82218.27
V37  7.3495918 229.7838 -8.317766  45752.00
V38  7.5534694 229.6300 -8.317766       NaN
V39  7.7573469 229.6616 -8.317766  58087.39
V40  7.9612245 230.0573 -8.317766  40460.87
V41  8.1651020 230.5611 -8.317766  55832.28
V42  8.3689796 230.5835 -8.317766  70629.73
V43  8.5728571 230.5899 -8.317766  88753.08
V44  8.7767347 231.2373 -8.317766 274323.41
V45  8.9806122 222.7265 -8.317766  71913.42
V46  9.1844898 223.1052 -8.317766  36881.71
V47  9.3883673 223.4896 -8.317766  45139.08
V48  9.5922449 223.8011 -8.317766  49733.00
V49  9.7961224 224.0669 -8.317766  82032.86
V50 10.0000000 224.4120 -8.317766  67621.56

$`L-BFGS-B`
             I        P         L         S
V1   0.0100000 229.6692 -8.317766  82150.71
